english,santhali
"We are sweeping the driveway. ","ᱟᱞᱮ ᱰᱨᱟᱭᱤᱵᱷᱣᱮ ᱞᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"He is cleaning the mouse and keyboard. ","ᱩᱱᱤ ᱢᱟᱣᱩᱥ ᱟᱨ ᱠᱤᱵᱚᱨᱰ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m reviewing the meeting agenda. ","ᱤᱧ ᱢᱤᱴᱤᱝ ᱮᱡᱮᱱᱰᱟ ᱧᱮᱞ ᱫᱚᱦᱚ ᱮᱫᱟᱹᱧ ᱾ "
"She is decorating the cupcakes. ","ᱩᱱᱤ ᱠᱟᱯᱠᱮᱠᱥ ᱮ ᱥᱟᱡᱟᱣ ᱮᱫᱟ᱾ "
"We are fixing the sprinkler system. ","ᱟᱞᱮ ᱥᱯᱨᱤᱝᱠᱞᱟᱨ ᱥᱤᱥᱴᱚᱢ ᱞᱮ ᱴᱷᱤᱠ ᱮᱫᱟ᱾ "
"He is checking the mailbox for letters. ","ᱩᱱᱤ ᱪᱤᱴᱷᱤ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱢᱮᱭᱞ ᱵᱚᱠᱥ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m formatting the spreadsheet. ","ᱤᱧ ᱥᱯᱨᱮᱰᱥᱤᱴ ᱯᱷᱚᱨᱢᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is organizing the pantry. ","ᱩᱱᱤ ᱯᱮᱱᱴᱨᱤ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱭ ᱾ "
"We are preparing the dining table. ","ᱟᱞᱮ ᱡᱚᱢ ᱴᱮᱵᱩᱞ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is cleaning the fish tank. ","ᱩᱱᱤ ᱦᱟᱹᱠᱩ ᱴᱮᱸᱠ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾"
"I’m updating the browser settings. ","ᱤᱧ ᱵᱽᱨᱟᱣᱩᱡᱟᱨ ᱥᱮᱴᱤᱝ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is making a greeting card. ","ᱩᱱᱤ ᱢᱤᱫ ᱜᱽᱨᱤᱴᱤᱝ ᱠᱟᱨᱰ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are arranging the photo frames. ","ᱟᱞᱮ ᱯᱷᱳᱴᱳ ᱯᱷᱨᱟᱢ ᱞᱮ ᱥᱟᱹᱭᱛᱟᱹᱣ ᱮᱫᱟ᱾ "
"He is checking the fire alarm. ","ᱩᱱᱤ ᱫᱚ ᱯᱷᱟᱭᱟᱨ ᱮᱞᱟᱨᱟᱢ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I am opening my eyes.   ","ᱤᱧ ᱤᱧᱟᱜ ᱢᱮᱫ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱹᱧ ᱾ "
"She is drinking cold milk.   ","ᱩᱱᱤ ᱨᱮᱭᱟᱲ ᱛᱚᱣᱟ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"They are cleaning the kitchen.   ","ᱩᱱᱠᱩ ᱫᱟᱠᱟ ᱚᱲᱟᱜ ᱠᱚ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"He is running to the station.   ","ᱩᱱᱤ ᱥᱴᱮᱥᱚᱱ ᱛᱮ ᱫᱟᱹᱲ ᱠᱟᱱᱟᱭ ᱾ "
"I am watching the rain fall.   ","ᱤᱧ ᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱧᱩᱨᱩᱜ ᱤᱧ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"We are going to the beach.   ","ᱟᱞᱮ ᱫᱚᱨᱭᱟ ᱟᱲᱮ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"The children are singing loudly.   ","ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱟᱹᱰᱤ ᱟᱲᱟᱝ ᱠᱚ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"He is fixing the light bulb.   ","ᱩᱱᱤ ᱫᱚ ᱢᱟᱨᱥᱟᱞ ᱵᱟᱞᱵᱽ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"She is brushing her long hair.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱡᱮᱞᱮᱝ ᱩᱵ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱭ ᱾ "
"I am typing a message.   ","ᱤᱧ ᱢᱤᱫ ᱠᱷᱚᱵᱚᱨ ᱴᱟᱭᱤᱯ ᱮᱫᱟᱹᱧ ᱾ "
"They are sitting on the grass.   ","ᱩᱱᱠᱩ ᱜᱟᱥ ᱨᱮᱠᱚ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟ ᱾ "
"He is wearing a blue cap.   ","ᱩᱱᱤ ᱞᱤᱞ ᱴᱩᱯᱨᱤ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"She cooked noodles for lunch.   ","ᱩᱱᱤ ᱢᱟᱧᱡᱟᱱ ᱞᱟᱹᱜᱤᱫ ᱱᱩᱰᱟᱞᱥ ᱤᱥᱤᱱ ᱠᱮᱫᱟᱭ ᱾ "
"I am looking at the stars.   ","ᱤᱧ ᱤᱯᱤᱞ ᱠᱚᱧ ᱠᱚᱭᱚᱜ ᱠᱟᱱᱟ᱾ "
"We are studying in the library.   ","ᱟᱞᱮ ᱞᱟᱭᱵᱨᱮᱨᱤ ᱨᱮ ᱞᱮ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ ᱾ "
"The dog is barking at the postman.   ","ᱥᱮᱛᱟ ᱫᱚ ᱰᱟᱠ ᱦᱚᱲ ᱴᱷᱮᱱ ᱵᱷᱩᱜ ᱠᱟᱱᱟᱭ ᱾ "
"He is carrying a basket of apples.   ","ᱩᱱᱤ ᱟᱯᱩᱞ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱵᱟᱥᱠᱮᱴ ᱟᱹᱜᱩ ᱟᱠᱟᱫᱟᱭ ᱾ "
"She is opening her school bag.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱟᱥᱲᱟ ᱵᱮᱜᱽ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱭ ᱾ "
"I am writing my homework.   ","ᱤᱧ ᱤᱧᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"They are preparing for the test.   ","ᱩᱱᱠᱩ ᱵᱤᱱᱤᱰ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱠᱟᱱᱟ ᱾ "
"He is washing his hands with soap.   ","ᱩᱱᱤ ᱥᱟᱵᱩᱱ ᱛᱮ ᱛᱤ ᱟᱹᱵᱩᱠ ᱮᱫᱟᱭ ᱾ "
"She is feeding the baby.   ","ᱩᱱᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱡᱚᱢ ᱚᱪᱚ ᱮᱫᱮᱭᱟᱭ ᱾ "
"I am waiting at the bus stop.   ","ᱤᱧ ᱵᱟᱥ ᱛᱤᱸᱜᱩᱱ ᱨᱮ ᱛᱟᱺᱜᱤ ᱨᱮ ᱢᱤᱱᱟᱹᱧᱟ᱾ "
"We are watching birds in the sky.   ","ᱟᱞᱮ ᱥᱮᱨᱢᱟ ᱨᱮ ᱪᱮᱬᱮ ᱠᱚ ᱞᱮ ᱧᱮᱞ ᱮᱫ ᱠᱚᱣᱟ᱾ "
"The car is parked outside.   ","ᱠᱟᱨ ᱫᱚ ᱵᱟᱦᱨᱮ ᱛᱤᱸᱜᱩ ᱟᱠᱟᱱᱟ ᱾ "
"He is calling his friend on the phone.   ","ᱩᱱᱤ ᱟᱡ ᱨᱮᱱ ᱜᱟᱛᱮ ᱯᱷᱚᱱ ᱨᱮ ᱦᱚᱦᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"She is playing the piano.   ","ᱩᱱᱤ ᱯᱤᱭᱟᱱᱳ ᱨᱩ ᱠᱟᱱᱟᱭ ᱾ "
"I am cleaning my glasses.   ","ᱤᱧ ᱤᱧᱟᱜ ᱪᱚᱥᱢᱟ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"They are traveling by train.   ","ᱩᱱᱠᱩ ᱴᱨᱮᱱ ᱛᱮ ᱠᱚ ᱫᱟᱬᱟᱱ ᱠᱟᱱᱟ ᱾ "
"He is watering the plants every morning.   ","ᱩᱱᱤ ᱫᱤᱱᱟᱹᱢ ᱥᱮᱛᱟᱜ ᱫᱟᱨᱮ ᱠᱚ ᱫᱟᱜ ᱮᱢᱟ ᱠᱚᱣᱟᱭ ᱾ "
"She is wearing a new saree.   ","ᱩᱱᱤ ᱱᱟᱶᱟ ᱥᱟᱨᱤ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"I am reading a comic book.   ","ᱤᱧ ᱢᱤᱫ ᱠᱚᱢᱤᱠ ᱯᱚᱛᱚᱵ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"We are visiting a new city.   ","ᱟᱞᱮ ᱢᱤᱫ ᱱᱟᱶᱟ ᱥᱚᱦᱚᱨ ᱞᱮ ᱫᱟᱬᱟ ᱮᱫᱟ᱾ "
"The sun is hiding behind the clouds.   ","ᱥᱤᱛᱩᱢ ᱫᱚ ᱨᱤᱢᱤᱞ ᱟᱲᱮ ᱨᱮ ᱩᱠᱩ ᱟᱠᱟᱱᱟᱭ ᱾ "
"He is cutting paper with scissors.   ","ᱩᱱᱤ ᱠᱟᱹᱯᱪᱤ ᱛᱮ ᱠᱟᱜᱚᱡᱽ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"She is ironing her uniform.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱤᱭᱩᱱᱤᱯᱷᱚᱨᱢ ᱤᱥᱛᱨᱤ ᱮᱫᱟᱭ ᱾ "
"I am opening the refrigerator.   ","ᱤᱧ ᱨᱮᱯᱷᱨᱤᱡᱮᱨᱮᱴᱟᱨ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱹᱧ ᱾ "
"They are playing board games.   ","ᱩᱱᱠᱩ ᱵᱚᱨᱰ ᱠᱷᱮᱞ ᱠᱚ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"He is writing a poem.   ","ᱩᱱᱤ ᱢᱤᱫ ᱚᱱᱚᱲᱦᱮ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"She is decorating the wall with photos.   ","ᱩᱱᱤ ᱯᱷᱚᱴᱚ ᱛᱮ ᱵᱷᱤᱛ ᱥᱟᱡᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I am washing the dishes.   ","ᱤᱧ ᱫᱚ ᱛᱷᱟᱹᱨᱤ ᱠᱚ ᱟᱹᱨᱩᱵ ᱮᱫᱟᱹᱧ ᱾ "
"We are enjoying the holiday.   ","ᱟᱞᱮ ᱪᱷᱩᱴᱤ ᱨᱮᱭᱟᱜ ᱨᱟᱹᱥᱠᱟᱹ ᱞᱮ ᱦᱟᱛᱟᱣ ᱮᱫᱟ᱾ "
"The teacher is checking homework.   ","ᱢᱟᱪᱮᱛ ᱫᱚ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"He is peeling an orange.   ","ᱩᱱᱤ ᱫᱚ ᱞᱮᱢᱵᱚ ᱦᱚᱴᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"She is walking with her sister.   ","ᱩᱱᱤ ᱟᱡ ᱢᱤᱥᱨᱟ ᱥᱟᱶ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I am searching for my pen.   ","ᱤᱧ ᱤᱧᱟᱜ ᱠᱚᱞᱚᱢ ᱥᱮᱸᱫᱽᱨᱟ ᱮᱫᱟᱹᱧ ᱾ "
"They are waiting in line.   ","ᱩᱱᱠᱩ ᱞᱟᱭᱤᱱ ᱨᱮ ᱠᱚ ᱛᱟᱺᱜᱤ ᱟᱠᱟᱫᱟ ᱾ "
"He is learning to dance.   ","ᱩᱱᱤ ᱮᱱᱮᱡ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"She is cleaning the mirror.   ","ᱩᱱᱤ ᱟᱹᱨᱥᱤ ᱥᱟᱯᱷᱟ ᱠᱟᱱᱟᱭ ᱾ "
"I am fixing the clock.   ","ᱤᱧ ᱜᱷᱚᱰᱤ ᱴᱷᱤᱠ ᱮᱫᱟᱹᱧ ᱾ "
"We are reading about planets.   ","ᱟᱞᱮ ᱫᱚ ᱜᱽᱨᱚᱦᱚ ᱵᱟᱨᱮᱛᱮ ᱞᱮ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"The wind is blowing softly.   ","ᱦᱚᱭ ᱞᱟᱵᱤᱫ ᱛᱮ ᱩᱰᱟᱹᱣᱜ ᱠᱟᱱᱟ ᱾ "
"He is climbing the stairs.   ","ᱩᱱᱤ ᱥᱤᱲᱦᱤ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"She is talking to her friend.   ","ᱩᱱᱤ ᱟᱡ ᱨᱮᱱ ᱜᱟᱛᱮ ᱥᱟᱶ ᱨᱚᱯᱚᱲ ᱠᱟᱱᱟᱭ ᱾ "
"I am eating a sandwich.   ","ᱤᱧ ᱥᱮᱱᱰᱣᱤᱪ ᱡᱚᱢ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are planting small trees.   ","ᱩᱱᱠᱩ ᱠᱟᱹᱴᱤᱡ ᱫᱟᱨᱮ ᱠᱚ ᱨᱚᱦᱚᱲ ᱮᱫᱟ᱾ "
"He is checking the time.   ","ᱩᱱᱤ ᱚᱠᱛᱚ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"She is washing her clothes.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱠᱤᱪᱨᱤᱡ ᱮ ᱟᱹᱵᱩᱠ ᱮᱫᱟ᱾ "
"I am brushing my teeth.   ","ᱤᱧ ᱤᱧᱟᱜ ᱰᱟᱴᱟ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱹᱧ ᱾ "
"We are baking a chocolate cake.   ","ᱟᱞᱮ ᱪᱚᱠᱞᱮᱴ ᱠᱮᱠ ᱞᱮ ᱥᱮᱠᱟᱣ ᱮᱫᱟ᱾ "
"The bus stopped near the park.   ","ᱵᱟᱥ ᱫᱚ ᱯᱟᱨᱠ ᱥᱩᱨ ᱨᱮ ᱛᱤᱸᱜᱩ ᱮᱱᱟ ᱾ "
"He is feeding the cows.   ","ᱩᱱᱤ ᱜᱟᱹᱭ ᱠᱚ ᱡᱚᱢ ᱚᱪᱚ ᱠᱚᱣᱟᱭ ᱾ "
"She is putting on her shoes.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱯᱟᱱᱟᱦᱤ ᱦᱚᱨᱚᱜ ᱮᱫᱟᱭ ᱾ "
"I am taking a photo.   ","ᱤᱧ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱤᱧ ᱦᱟᱛᱟᱣ ᱮᱫᱟ᱾ "
"They are playing in the backyard.   ","ᱩᱱᱠᱩ ᱫᱚ ᱯᱟᱹᱪᱷᱞᱟᱹ ᱨᱮᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"He is opening a can of juice.   ","ᱩᱱᱤ ᱨᱚᱥ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱰᱟᱹᱱᱰᱤ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱭ ᱾ "
"She is listening carefully.   ","ᱩᱱᱤ ᱵᱮᱥ ᱛᱮ ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I am wearing a new jacket.   ","ᱤᱧ ᱱᱟᱶᱟ ᱡᱮᱠᱮᱴ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱹᱧ ᱾ "
"We are cleaning the classroom.   ","ᱟᱞᱮ ᱪᱟᱱᱟᱪ ᱠᱟᱺᱫᱷᱟ ᱞᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"The children are shouting with joy.   ","ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱨᱟᱹᱥᱠᱟᱹ ᱛᱮ ᱠᱚ ᱜᱩᱞ ᱮᱫᱟ᱾ "
"He is sitting on the floor.   ","ᱩᱱᱤ ᱚᱛ ᱨᱮ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟᱭ ᱾ "
"She is closing her notebook.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱱᱚᱴᱵᱚᱦᱤ ᱮ ᱵᱚᱱᱫᱚ ᱮᱫᱟ᱾ "
"I am watching a video.   ","ᱤᱧ ᱢᱤᱫ ᱵᱷᱤᱰᱤᱭᱳ ᱧᱮᱞ ᱮᱫᱟᱹᱧ ᱾ "
"They are waiting for the rain to stop.   ","ᱩᱱᱠᱩ ᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱛᱷᱤᱨᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱛᱟᱺᱜᱤ ᱟᱠᱟᱫᱟ᱾ "
"He is helping his grandmother.   ","ᱩᱱᱤ ᱟᱡ ᱵᱩᱰᱷᱤ ᱟᱭᱳ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"She is folding the bedsheet.   ","ᱩᱱᱤ ᱵᱮᱰᱥᱤᱴ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱭ ᱾ "
"I am turning off the lights.   ","ᱤᱧ ᱫᱚ ᱢᱟᱨᱥᱟᱞ ᱵᱚᱱᱫᱚ ᱮᱫᱟᱹᱧ ᱾ "
"We are opening the window.   ","ᱟᱞᱮ ᱡᱷᱚᱨᱠᱟ ᱞᱮ ᱡᱷᱤᱡᱽ ᱮᱫᱟ᱾ "
"The flowers smell sweet.   ","ᱵᱟᱦᱟ ᱠᱚ ᱥᱤᱵᱤᱞ ᱢᱚᱦᱚᱞ ᱮᱫᱟ ᱠᱚ ᱾ "
"He is writing a shopping list.   ","ᱩᱱᱤ ᱫᱚ ᱥᱚᱯᱤᱝ ᱛᱟᱞᱠᱟ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"She is wiping the table.   ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱮ ᱪᱚᱫ ᱮᱫᱟ᱾ "
"I am pouring water into the glass.   ","ᱤᱧ ᱜᱤᱞᱟᱥ ᱨᱮ ᱫᱟᱜ ᱤᱧ ᱫᱩᱞ ᱮᱫᱟ᱾ "
"They are fixing the television.   ","ᱩᱱᱠᱩ ᱴᱤᱵᱷᱤ ᱠᱚ ᱴᱷᱤᱠ ᱮᱫᱟ᱾ "
"He is combing his hair.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱩᱵ ᱮ ᱨᱟᱠᱟᱵ ᱮᱫᱟ᱾ "
"She is wrapping a gift.   ","ᱩᱱᱤ ᱢᱤᱫ ᱥᱤᱨᱯᱟᱹ ᱵᱮᱫᱷᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I am drawing a house.   ","ᱤᱧ ᱢᱤᱫ ᱚᱲᱟᱜ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟᱹᱧ ᱾ "
"We are cooking together.   ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱡᱚᱢᱟᱜ ᱞᱮ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"The teacher is teaching math.   ","ᱢᱟᱪᱮᱛ ᱮᱞᱠᱷᱟ ᱪᱮᱫ ᱮᱫᱟᱭ ᱾ "
"He is buying fruits.   ","ᱩᱱᱤ ᱡᱚ ᱠᱤᱨᱤᱧ ᱠᱟᱱᱟᱭ ᱾ "
"She is taking care of her pet.   ","ᱩᱱᱤ ᱟᱡ ᱨᱮᱱ ᱟᱹᱥᱩᱞ ᱡᱤᱣ ᱡᱚᱛᱚᱱ ᱮ ᱦᱟᱛᱟᱣ ᱮᱫ ᱠᱚᱣᱟ ᱾ "
"I am looking out the window.   ","ᱤᱧ ᱡᱷᱚᱨᱠᱟ ᱠᱷᱚᱱ ᱵᱟᱦᱨᱮ ᱠᱚᱭᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are arranging the chairs.   ","ᱩᱱᱠᱩ ᱢᱟᱹᱪᱤ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ ᱠᱚ ᱾ "
"He is drinking lemon juice.   ","ᱩᱱᱤ ᱞᱮᱵᱩ ᱨᱟᱥᱟ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"She is cutting a piece of cake.   ","ᱩᱱᱤ ᱠᱮᱠ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱴᱩᱠᱨᱟᱹ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"I am opening a book.   ","ᱤᱧ ᱢᱤᱫ ᱯᱚᱛᱚᱵ ᱤᱧ ᱡᱷᱤᱡᱽ ᱮᱫᱟ᱾ "
"We are celebrating a birthday.   ","ᱟᱞᱮ ᱫᱚ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱞᱮ ᱢᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"The baby is laughing loudly.   ","ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱟᱹᱰᱤ ᱟᱲᱟᱝ ᱛᱮ ᱞᱟᱱᱫᱟᱭ ᱠᱟᱱᱟ ᱾ "
"He is putting food on the table.   ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱨᱮ ᱡᱚᱢᱟᱜ ᱫᱚᱦᱚ ᱮᱫᱟᱭ ᱾ "
"She is holding a flower.   ","ᱩᱱᱤ ᱢᱤᱫ ᱵᱟᱦᱟ ᱥᱟᱵ ᱟᱠᱟᱫᱟᱭ ᱾ "
"I am cleaning my phone screen.   ","ᱤᱧ ᱤᱧᱟᱜ ᱯᱷᱚᱱ ᱥᱠᱨᱤᱱ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"They are walking home from school.   ","ᱩᱱᱠᱩ ᱟᱥᱲᱟ ᱠᱷᱚᱱ ᱚᱲᱟᱜ ᱠᱚ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"I’m boiling eggs for breakfast. ","ᱤᱧ ᱫᱚ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱞᱟᱹᱜᱤᱫ ᱵᱤᱞᱤ ᱩᱰᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is sketching a city skyline. ","ᱩᱱᱤ ᱥᱚᱦᱚᱨ ᱨᱮᱭᱟᱜ ᱥᱮᱨᱢᱟ ᱞᱟᱹᱭᱤᱱ ᱥᱠᱮᱪ ᱮᱫᱟᱭ ᱾ "
"We are organizing a school event. ","ᱟᱞᱮ ᱫᱚ ᱢᱤᱫ ᱟᱥᱲᱟ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱞᱮ ᱵᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"He is installing a ceiling fan. ","ᱩᱱᱤ ᱢᱤᱫ ᱥᱤᱞᱤᱝ ᱯᱷᱮᱱ ᱛᱷᱟᱯᱚᱱ ᱮᱫᱟᱭ ᱾ "
"I’m clearing my browser history. ","ᱤᱧ ᱤᱧᱟᱜ ᱵᱽᱨᱟᱣᱩᱡᱟᱨ ᱱᱟᱜᱟᱢ ᱤᱧ ᱯᱷᱟᱨᱪᱟ ᱮᱫᱟ᱾ "
"She is reading a health article. ","ᱩᱱᱤ ᱢᱤᱫ ᱦᱚᱲᱢᱚ ᱚᱱᱚᱞ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are visiting a wildlife sanctuary. ","ᱟᱞᱮ ᱫᱚ ᱵᱤᱨ ᱡᱤᱣᱤ ᱟᱥᱲᱟ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is sorting his wardrobe. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱣᱟᱨᱰᱨᱚᱵᱽ ᱵᱟᱪᱷᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I’m updating my contact info. ","ᱤᱧ ᱤᱧᱟᱜ ᱠᱚᱱᱴᱟᱠᱴ ᱤᱱᱯᱷᱚ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is rehearsing her lines. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱞᱟᱭᱤᱱ ᱨᱮᱭᱟᱜ ᱨᱤᱦᱟᱨᱥ ᱮᱫᱟᱭ ᱾ "
"We are watching a mystery film. ","ᱟᱞᱮ ᱢᱤᱫ ᱩᱠᱩ ᱯᱷᱤᱞᱤᱢ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is folding his workout clothes. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱣᱟᱨᱠ ᱟᱣᱩᱴ ᱠᱤᱪᱨᱤᱡ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱭ ᱾ "
"I’m syncing my calendar. ","ᱤᱧ ᱤᱧᱟᱜ ᱠᱮᱞᱮᱱᱰᱟᱨ ᱥᱤᱱᱠ ᱮᱫᱟᱹᱧ ᱾ "
"She is watering the balcony plants. ","ᱩᱱᱤ ᱵᱟᱨᱟᱞᱠᱚᱱᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱨᱮ ᱠᱚ ᱫᱟᱜ ᱮᱢᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"We are setting up the projector stand. ","ᱟᱞᱮ ᱯᱨᱚᱡᱮᱠᱴᱚᱨ ᱥᱴᱮᱱᱰ ᱞᱮ ᱛᱷᱟᱯᱚᱱ ᱮᱫᱟ᱾ "
"He is checking the bus route. ","ᱩᱱᱤ ᱵᱟᱥ ᱨᱳᱴ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m writing a packing checklist. ","ᱤᱧ ᱢᱤᱫ ᱯᱮᱠᱤᱝ ᱪᱮᱠᱞᱤᱥᱴ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is baking cinnamon rolls. ","ᱩᱱᱤ ᱫᱟᱞ ᱪᱤᱱᱤ ᱜᱩᱲᱩᱵ ᱮ ᱥᱮᱠᱟᱣ ᱮᱫᱟ᱾ "
"We are planning a hiking trip. ","ᱟᱞᱮ ᱫᱚ ᱦᱟᱭᱠᱤᱝ ᱫᱟᱬᱟᱱ ᱞᱮ ᱯᱞᱟᱱ ᱮᱫᱟ᱾ "
"He is painting the bedroom wall. ","ᱩᱱᱤ ᱜᱤᱛᱤᱡ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱷᱤᱛ ᱨᱚᱝ ᱮᱫᱟᱭ ᱾ "
"I’m making a weekly planner. ","ᱤᱧ ᱢᱤᱫ ᱦᱟᱯᱛᱟᱠᱤᱭᱟᱹ ᱯᱞᱟᱱᱟᱨ ᱵᱮᱱᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
